Mike Yastrzemski,SFG,148,485,73,104,31,2,17,57,5,1,61,141,5,6,0,yastrmi01
Cesar Hernandez,WSN,147,560,64,139,28,4,1,34,10,4,45,114,7,2,0,hernace02
Tony Kemp,OAK,147,497,61,117,24,2,7,46,11,1,45,69,8,3,0,kempto01
Steven Kwan,CLE,147,563,89,168,25,7,6,52,19,5,62,60,7,4,2,kwanst01
Andres Gimenez,CLE,146,491,66,146,26,3,17,69,20,3,34,112,25,3,4,gimenan01
Yuli Gurriel,HOU,146,545,53,132,40,0,8,53,8,0,30,73,6,3,0,gourryu01
Lane Thomas,WSN,146,498,62,120,26,2,17,52,8,4,41,132,4,5,0,thomala02
J.P. Crawford,SEA,145,518,57,126,24,3,6,42,3,2,68,80,10,5,0,crawfjp01
Kyle Farmer,CIN,145,526,58,134,25,1,14,78,4,3,33,99,16,6,0,farmeky01
Austin Hays,BAL,145,535,66,134,35,2,16,60,2,4,34,114,10,3,0,haysau01
Ryan Mountcastle,BAL,145,555,62,139,28,1,22,85,4,1,43,154,4,7,1,mountry01
Bryan Reynolds,PIT,145,542,74,142,19,4,27,62,7,3,56,141,14,2,6,reynobr01
Luis Arraez,MIN,144,547,88,173,31,1,8,49,4,4,50,43,3,3,2,arraelu01
Javier Baez,DET,144,555,64,132,27,4,17,67,9,2,26,147,6,3,1,baezja01
Cody Bellinger,LAD,144,504,70,106,27,3,19,68,14,3,38,150,2,6,0,bellico01
Tommy Pham,TOT,144,554,89,131,23,1,17,63,8,3,56,167,7,5,0,phamth01
Gio Urshela,MIN,144,501,61,143,27,3,13,64,1,0,41,96,2,7,2,urshegi01
Trey Mancini,TOT,143,519,56,124,23,1,18,63,0,0,53,135,10,5,2,mancitr01
Mookie Betts,LAD,142,572,117,154,40,3,35,82,12,2,55,104,8,4,0,bettsmo01
Isiah Kiner-Falefa,NYY,142,483,66,126,20,0,4,48,22,4,35,72,5,5,2,kineris01
Taylor Walls,TBR,142,407,53,70,18,2,8,33,10,3,52,120,2,2,0,wallsta01
Jose Altuve,HOU,141,527,103,158,39,0,28,57,18,1,66,87,10,1,2,altuvjo01
Rafael Devers,BOS,141,555,84,164,42,1,27,88,3,1,50,114,6,3,11,deverra01
Nicky Lopez,KCR,141,436,51,99,12,4,0,20,13,3,29,63,4,1,0,lopezni01
Mark Canha,NYM,140,462,71,123,24,0,13,61,3,1,48,97,28,4,1,canhama01
Thairo Estrada,SFG,140,488,71,127,23,2,14,62,21,6,33,89,14,5,0,estrath01
Ty France,SEA,140,551,65,152,27,1,20,84,0,0,35,94,21,5,3,francty01
Randal Grichuk,COL,140,506,60,131,21,3,19,73,4,0,24,127,6,2,0,grichra01
Miguel Rojas,MIA,140,471,34,111,19,2,6,36,9,3,26,61,6,3,1,rojasmi02
Gleyber Torres,NYY,140,526,73,135,28,1,24,76,10,5,39,129,3,3,2,torregl01
Willy Adames,MIL,139,563,83,134,31,0,31,98,8,3,49,166,1,4,3,adamewi01
Alejandro Kirk,TOR,139,470,59,134,19,0,14,63,0,0,63,58,4,4,2,kirkal01
J.D. Martinez,BOS,139,533,76,146,43,1,16,62,0,0,52,145,5,5,1,martijd02
Whit Merrifield,TOT,139,504,70,126,28,1,11,58,16,5,38,85,0,8,0,merriwh01
J.T. Realmuto,PHI,139,504,75,139,26,5,22,84,21,1,41,119,12,5,1,realmjt01
Brandon Drury,TOT,138,518,87,136,31,2,28,87,2,3,38,126,8,4,0,drurybr01
AJ Pollock,CHW,138,489,61,120,26,1,14,56,3,1,32,98,2,4,0,polloaj01
Yandy Díaz,TBR,137,473,71,140,33,0,9,57,3,3,78,60,6,1,2,diazya01
Ketel Marte,ARI,137,492,68,118,42,2,12,52,5,1,55,101,6,5,3,marteke01
Brendan Rodgers,COL,137,527,72,140,30,3,13,63,0,0,46,101,3,5,0,rodgebr02
Will Smith,LAD,137,508,68,132,26,3,24,87,1,0,56,96,10,4,4,smithwi05
Nick Castellanos,PHI,136,524,56,138,27,0,13,62,7,1,29,130,3,2,0,casteni01
Carlos Correa,MIN,136,522,70,152,24,1,22,64,0,1,61,121,3,4,2,correca01
Eduardo Escobar,NYM,136,495,58,119,26,4,20,69,0,2,40,129,1,6,3,escobed01
Nick Gordon,MIN,136,405,45,110,28,4,9,50,6,4,19,105,10,6,1,gordoni01
Ke'Bryan Hayes,PIT,136,505,55,123,24,3,7,41,20,5,48,122,5,2,0,hayeske01
Max Muncy,LAD,136,464,69,91,22,1,21,69,2,0,90,141,5,6,1,muncyma01
Jeremy Pena,HOU,136,521,72,132,20,2,22,63,11,2,22,135,6,5,0,penaje02
Jesse Winker,SEA,136,456,51,100,15,0,14,53,0,0,84,103,4,3,1,winkeje01
