name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
Alec Bohm,PHI,NL,152,586,79,164,24,3,13,72,2,3,31,110,4,10,1,bohmal01
Ronald Bolanos,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bolanro01
Skye Bolt#,OAK,AL,42,106,10,21,2,0,4,13,5,0,7,30,2,1,0,boltsk01
David Bote,CHC,NL,41,116,15,30,8,0,4,12,1,0,6,45,4,1,0,boteda01
Sean Bouchard,COL,NL,27,74,9,22,6,0,3,11,0,0,21,25,1,1,0,bouchse01
Bobby Bradley*,CLE,AL,8,17,1,2,0,0,0,0,0,0,0,9,0,0,0,bradlbo01
Jackie Bradley Jr.*,TOT,AL,131,344,30,70,23,1,4,38,2,3,24,77,0,0,0,bradlja02
Jackie Bradley Jr.*,BOS,AL,91,271,21,57,19,1,3,29,2,3,17,58,0,0,0,bradlja02
Jackie Bradley Jr.*,TOR,AL,40,73,9,13,4,0,1,9,0,0,7,19,0,0,0,bradlja02
Michael Brantley*,HOU,AL,64,243,28,70,14,1,5,26,1,1,31,30,1,1,2,brantmi02
Rob Brantly*,NYY,AL,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,brantro01
Matt Brash,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brashma01
Alex Bregman,HOU,AL,155,548,93,142,38,0,23,93,1,2,87,77,11,10,1,bregmal01
Will Brennan*,CLE,AL,11,42,6,15,1,1,1,8,2,1,2,4,1,0,1,brennwi02
Jonah Bride,OAK,AL,58,162,17,33,4,0,1,6,1,0,19,32,4,1,0,bridejo01
Lewis Brinson,SFG,NL,16,36,5,6,2,0,3,4,1,0,2,14,0,0,0,brinsle01
Mike Brosseau,MIL,NL,69,141,15,36,5,0,6,23,2,0,14,48,5,0,0,brossmi01
Seth Brown*,OAK,AL,150,500,55,115,26,3,25,73,11,2,51,146,3,1,3,brownse01
Justin Bruihl*,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bruihju01
Vidal Brujan#,TBR,AL,52,147,13,24,5,0,3,16,5,5,12,37,1,2,0,brujavi01
Kris Bryant,COL,NL,42,160,28,49,12,0,5,14,0,0,17,27,2,2,0,bryankr01
Aaron Bummer*,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bummeaa01
Peyton Burdick,MIA,NL,32,92,8,19,4,0,4,11,1,0,8,35,2,0,0,burdipe01
Jake Burger,CHW,AL,51,168,20,42,9,1,8,26,0,0,10,56,3,1,1,burgeja01
Alec Burleson*,STL,NL,16,48,4,9,1,0,1,3,1,0,5,9,0,0,0,burleal01
Byron Buxton,MIN,AL,92,340,61,76,13,3,28,51,6,0,34,116,7,1,0,buxtoby01
Miguel Cabrera,DET,AL,112,397,25,101,10,0,5,43,1,0,28,101,3,5,3,cabremi01
Oswaldo Cabrera#,NYY,AL,44,154,21,38,8,1,6,19,3,2,15,44,0,1,0,cabreos01
Lorenzo Cain,MIL,NL,43,145,17,26,5,0,1,9,2,2,8,36,2,1,0,cainlo01
Kole Calhoun*,TEX,AL,125,388,36,76,14,1,12,49,3,2,27,136,6,3,0,calhoko01
Willie Calhoun*,TOT,MLB,22,52,7,7,3,0,1,3,0,0,9,8,1,0,0,calhowi01
Willie Calhoun*,TEX,AL,18,44,7,6,3,0,1,2,0,0,8,6,1,0,0,calhowi01
Willie Calhoun*,SFG,NL,4,8,0,1,0,0,0,1,0,0,1,2,0,0,0,calhowi01
Alex Call,TOT,MLB,47,114,18,27,3,1,5,13,3,3,15,30,2,0,0,callal02
Alex Call,CLE,AL,12,12,2,2,0,0,0,0,0,0,4,4,0,0,0,callal02
Alex Call,WSN,NL,35,102,16,25,3,1,5,13,3,3,11,26,2,0,0,callal02
Johan Camargo#,PHI,NL,52,152,8,36,3,0,3,15,0,0,13,37,0,0,0,camarjo01
Daz Cameron,DET,AL,21,64,6,14,3,1,1,8,2,0,5,20,1,0,0,camerda01
Luis Campusano,SDP,NL,16,48,4,12,1,0,1,5,0,0,1,11,0,1,0,campulu01
Jeimer Candelario#,DET,AL,124,429,49,93,19,2,13,50,0,1,28,109,6,4,1,candeje01
Mark Canha,NYM,NL,140,462,71,123,24,0,13,61,3,1,48,97,28,4,1,canhama01
Robinson Canó*,TOT,NL,33,100,5,15,1,0,1,4,0,0,4,25,0,0,0,canoro01
Robinson Canó*,NYM,NL,12,41,3,8,0,0,1,3,0,0,2,11,0,0,0,canoro01
